ID,Sector,LastPage,SmokedIn30Days,Extraverted,Critical,Dependable,Anxious,OpenExp,Reserved,Sympathetic,Disorganized,Calm,Conventional,DifficultRefrain,CigsPerDay,SmokeMoreEarly,SmokeWhileIll,TimeToFirstCig,HateToGiveUp,FirstCigAge,SmokingChangePostCrisis,AffordFavoriteBrand,SwitchedBrandPostCrisis,Gender,Age,Governorate,EducationLevel,CurrentEmploymentStatus,MaritalStatus,CloseFriends,NumSmokerFriends,MainIncomeSource,HouseholdIncomeType,MonthlyIncome,IncomeSufficiency,HouseholdSize,FinancialImpact,ExerciseFreq,SocialMediaHours,StressFreq,EmploymentStatusGeneral
5,0,5,0,2,4,2,1,2,0,2,3,0,5,0,0,0,1,0,1,17,2,1,0,1,28,3,1,0,0,1,5,3,0,6,1,4,4,1,1,1,0
11,0,5,0,1,1,1,0,2,5,2,6,2,6,0,0,1,0,0,0,14,0,0,2,1,20,0,2,2,3,1,5,4,1,6,1,4,3,2,1,3,1
14,0,5,0,4,5,0,1,3,1,6,0,6,1,0,0,0,0,2,0,17,2,1,0,1,24,0,1,3,3,1,4,4,0,5,1,4,1,0,4,0,0
15,0,5,0,2,4,2,5,2,4,1,5,6,5,0,1,0,1,1,0,16,2,1,2,1,21,0,3,3,3,1,5,4,2,5,3,5,1,2,1,3,0
16,0,5,0,0,0,2,4,1,2,6,4,2,5,0,0,0,0,2,0,18,2,1,0,1,21,0,3,0,3,1,1,0,3,7,3,6,3,0,3,2,0
31,0,5,0,0,5,1,0,2,0,1,5,6,3,0,0,0,0,2,0,18,1,1,0,0,20,0,3,2,3,1,0,4,0,0,2,5,4,3,2,1,1
35,0,5,0,5,1,2,1,2,2,1,5,1,4,0,0,0,0,2,0,16,0,1,0,1,24,0,1,3,3,0,2,1,2,7,3,3,1,1,1,0,0
36,0,5,0,1,5,1,2,2,1,1,2,4,5,0,0,0,0,2,0,17,2,0,2,0,18,2,2,2,3,1,4,4,0,5,3,4,1,3,1,0,1
42,0,5,0,2,0,1,1,2,0,2,1,0,5,0,1,1,0,2,1,23,1,0,2,1,25,0,0,2,3,1,1,2,3,7,2,1,0,1,0,0,1
52,0,5,0,1,1,2,2,1,0,1,4,0,3,0,0,0,0,2,1,17,2,1,0,0,19,2,0,3,3,1,2,4,2,6,1,4,1,2,4,1,0
55,0,5,0,1,4,2,5,2,6,0,0,1,5,1,0,1,1,1,1,27,2,1,0,0,29,0,0,2,3,0,0,2,3,1,3,1,2,1,2,1,1
79,0,5,0,0,1,1,1,0,0,6,6,6,6,1,2,1,1,0,0,10,1,0,2,1,22,0,1,3,3,1,4,4,1,5,1,2,2,3,3,1,0
80,0,5,0,2,5,1,6,1,4,1,4,0,4,0,0,0,0,2,1,16,1,1,0,1,27,0,5,2,3,1,4,1,2,7,1,1,3,3,0,4,1
85,0,5,0,1,0,1,1,0,6,1,4,3,3,0,0,0,0,2,0,18,0,1,0,0,24,4,1,3,3,1,2,4,0,4,3,4,1,0,4,3,0
87,0,5,0,0,3,0,2,2,3,2,3,0,5,0,0,0,0,2,0,16,2,1,0,0,19,2,3,2,3,1,3,4,2,5,3,6,4,2,1,0,1
89,0,5,0,2,0,6,4,2,5,2,0,4,5,0,0,0,0,2,0,17,1,0,2,1,23,2,4,3,3,1,1,2,2,5,3,5,1,3,1,3,0
95,0,5,0,3,1,0,1,3,0,1,2,6,4,0,0,1,0,2,0,16,1,0,2,0,21,1,1,3,2,1,2,1,0,3,4,5,1,1,1,1,0
96,0,5,0,4,5,1,2,1,1,1,0,4,4,1,3,1,1,3,1,19,1,0,2,0,22,0,3,2,3,1,3,2,3,4,3,0,1,1,4,0,1
104,0,5,0,2,2,2,0,2,1,0,6,0,4,0,0,0,0,2,0,17,2,1,0,1,19,0,3,2,3,1,2,4,2,5,3,0,1,2,1,1,1
112,0,5,0,1,5,0,0,1,3,2,3,2,3,1,1,1,1,1,0,16,1,1,0,1,20,0,0,2,3,1,4,0,1,6,0,7,2,3,2,3,1
113,0,5,0,2,1,2,2,2,6,2,4,2,4,0,1,0,0,0,0,17,0,1,0,0,18,0,0,2,3,1,5,4,2,0,1,4,1,3,2,1,1
115,0,5,0,3,5,1,6,0,1,0,3,3,6,1,0,0,0,2,0,22,2,1,0,0,22,0,0,2,3,1,3,4,0,5,2,4,4,1,1,1,1
